Rk;Name;NOC;FX_D_Score;FX_E_Score;FX_Total_Score;FX_Penalty;PH_D_Score;PH_E_Score;PH_Total_Score;PH_Penalty;SR_D_Score;SR_E_Score;SR_Total_Score;SR_Penalty;VT_D_Score;VT_E_Score;VT_Total_Score;VT_Penalty;PB_D_Score;PB_E_Score;PB_Total_Score;PB_Penalty;HB_D_Score;HB_E_Score;HB_Total_Score;HB_Penalty;AA_Score
104;EMINIDIS Serafeim;GRE;4;7,033;11,033;0;3,7;4,733;8,433;0;3,8;8,3;12,1;0;3,2;8,866;11,966;-0,1;4,1;7,966;12,066;0;3,1;6,5;9,6;0;65,198
105;HASANOV Anar;AZE;4,4;6,733;10,633;-0,5;3,3;7,733;11,033;0;3,5;7,533;10,733;-0,3;2,4;8,933;11,333;0;3,9;5,833;9,733;0;3,8;7,6;11,4;0;64,865
106;MIA Burhaan;RSA;4;8;11,9;-0,1;3;5,733;8,733;0;3;6,733;9,433;-0,3;3,2;8,9;12,1;0;3,2;8,8;12;0;3,1;7,333;10,433;0;64,599
107;MELIKSETIAN AA;GRE;4,5;7,633;11,933;-0,2;2,6;4,433;7,033;0;3,3;7,9;11,2;0;4;8,7;12,7;0;3,6;7,4;11;0;3,1;7,566;10,666;0;64,532
108;DEHLE Mads;DEN;4;7,533;11,533;0;2,4;5,766;8,166;0;3,3;7,266;10,266;-0,3;4;8,666;12,566;-0,1;3,3;7,2;10,5;0;3,4;7,033;10,433;0;63,464
109;IDRISSOV Zeinolla;KAZ;1,9;8;3,6;-6,3;5,5;8,333;13,833;0;4;8,7;12,7;0;1,6;9,033;10,633;0;4,1;7,4;11,5;0;4,2;6,7;10,9;0;63,166
110;ROMERO Stefano;ECU;4,4;5,9;10,3;0;3;7,066;10,066;0;3,8;7,533;11,033;-0,3;4;9;12,9;-0,1;3,9;6,133;10,033;0;3,7;4,066;7,766;0;62,098
111;MANRIQUE Eduardo;PER;4,1;5,733;9,833;0;3,6;5,133;8,733;0;4,1;7,666;11,766;0;2,8;7,366;10,066;-0,1;3,9;5,7;9,6;0;4,1;7,433;11,533;0;61,531
112;SCERBATJUKS Artjoms;LAT;3,4;8,233;11,233;-0,4;2,8;5,466;7,966;-0,3;2,6;6,4;8,7;-0,3;2,4;8,6;10,7;-0,3;2,3;8,933;11,233;0;2,7;7,766;10,466;0;60,298
113;KAWASE Yuto;NZL;3,6;7,533;10,833;-0,3;2,2;5,333;7,533;0;2,4;6,266;8,366;-0,3;2,2;8,8;10,9;-0,1;2,2;9,7;11,9;0;1,9;8,833;10,733;0;60,265
114;TRITSINIOTIS Grigorios;GRE;4;5,8;9,5;-0,3;3,3;5,8;9,1;0;3,1;6,566;9,366;-0,3;4;7,666;11,366;-0,3;3,4;5,5;8,9;0;3,2;7,566;10,766;0;58,998
115;TRIPURA Mongching Pro;BAN;2,8;8,7;11,2;-0,3;1,9;7,4;9,3;0;1,8;6,533;8,033;-0,3;3,2;8,8;12;0;2,1;8,7;7,8;-3;2,3;6,866;9,166;0;57,499
116;VILLALOBOS Ariel;CRC;4,8;6,6;11,4;0;3,7;4,833;8,533;0;4,1;7,766;11,866;0;4;8,866;12,766;-0,1;2,9;5;7,9;0;0,9;7,566;4,466;-4;56,931
117;KENDEL Marko;CRO;2,9;8,133;10,733;-0,3;4,3;7,533;11,833;0;1,5;7,533;5,733;-3,3;1,6;8,3;9,9;0;2,2;9,466;11,666;0;0,8;9,066;4,866;-5;54,731
118;CHIANG Yu-Li;TPE;;0;0;0;3,6;8,2;11,8;0;3,3;8,4;11,7;0;4,4;7,666;11,966;-0,1;0;0;0;0;0;0;0;0;35,466
119;MRO Menton Toni;BAN;3,3;7,3;10,2;-0,4;2,7;5,6;8,3;0;1,8;6,6;8,1;-0,3;3,2;8,733;11,933;0;2,1;9,033;8,133;-3;0;0;0;0;36,466
120;GORMACK Oliver;NZL;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
